year,day,givenName,familyName,papalName_en,papalName_it,papalName_es,papalName_pt,papalName_la_genit,honorificPrefix_la,givenName_la_accus,familyName_la_undecl
1534,October 13,Alessandro,Farnese,Paul III,Paolo III,Pablo III,Paulo III,Paulus Tertius,Cardinalem de,Alexandrum,Farnesio
1644,September 15,Giovanni Battista,Pamphili,Innocent X,Innocenzo X,Inocencio X,Inocêncio X,Innocentium Decimum,Cardinalem,Johannem Baptistum,Pamphilium
1655,April 7,Fabio,Chigi,Alexander VII,Alessandro VII,Alejandro VII,Alexandro VII,Alexandrum Septimum,Presbyterum Cardinalem,Fabium,Chisium
1676,September 21,Benedetto,Odeschalchi,Innocent XI,Innocenzo XI,Inocencio XI,Inocêncio XI,Innocentium Undecimum,Cardinalem,Benedictum,Odeschalcum
1721,May 8,Michelangelo,Conti,Innocent XIII,Innocenzo XIII,Inocencio XIII,Inocêncio XIII,Innocentius Tertius Decimus,Presbyterum Cardinalem de,Michaelem Angelum,Comitibus
1724,May 29,Vincenzo Maria,Orsini,Pope Benedict XIII,Papa Benedetto XIII,Papa Benedicto XIII,Papa Benedito XIII,Benedictus Tertius Decimus,Fratrem,Vincentium Mariam,Ursinum
1775,February 15,Giovanni Angelo,Braschi,Pope Pius VI,Papa Pio VI,Papa Pío VI,Papa Pío VI,Pius Sextus,Presbyterum Cardinalem,Ioannem Angelum,Braschi
1823,September 28,Annibale,Della Genga,Pope Leo XII,Papa Leone XII,Papa León XII,Papa Leão XII,Leo Duodecimus,Cardinalem,Annibalem,Della Genga
1831,February 2,Mauro,Cappellari,Pope Gregory XVI,Papa Gregorio XVI,Papa Gregorio XVI,Papa Gregório XVI,Gregorium Sextum Decimum,Cardinalem,Maurum,Cappellari
1846,June 16,Giovanni Maria,Mastai Ferretti,Pope Pius IX,Papa Pio IX,Papa Pío IX,Papa Pío IX,Pius Nonus,Presbyterum Cardinalem,Ioannem Mariam,Mastai Ferretti
1939,March 2,Eugenio,Pacelli,Pope Pius XII,Papa Pio XII,Papa Pío XII,Papa Pío XII,Pium,Cardinalem,Eugenium,Pacelli
1958,October 28,Angelo Giuseppe,Roncalli,Pope John XXIII,Papa Giovanni XXIII,Papa Juan XXIII,Papa João XXIII,Ioannis Vigesimi Tertii,Cardinalem,Angelum Iosephum,Cardinalem Roncalli
1963,June 21,Giovanni Battista,Montini,Pope Paul VI,Papa Paolo VI,Papa Pablo VI,Papa Paulo VI,Paulum Sextum,Cardinalem,Ioannem Baptistam,Montini
1978,August 26,Albino,Luciani,Pope John Paul I,Papa Giovanni Paolo I,Papa Juan Pablo I,Papa João Paulo I,Ioannis Pauli Primi,Cardinalem,Albinum,Luciani
1978,October 16,Karol,Wojtyła,Pope John Paul II,Papa Giovanni Paolo II,Papa Juan Pablo II,Papa João Paulo II,Ioannis Pauli,Cardinalem,Carolum,Wojtyła
2005,April 19,Joseph,Ratzinger,Pope Benedict XVI,Papa Benedetto XVI,Papa Benedicto XVI,Papa Benedito XVI,Benedicti Decimi Sexti,Cardinalem,Iosephum,Ratzinger
2013,March 13,Jorge Mario,Bergoglio,Pope Francis,Papa Francesco,Papa Francisco,Papa Francisco,Franciscum,Cardinalem,Georgium Marium,Bergoglio
